place,orilat,orilng,reallat,reallng
阿克蘇姆,770,2170,14.1340317,38.7472905
埃塞俄比亞,820,2190,9.145000000000001,40.489673
倭,545,3140,34.7051669,137.7300217
日本,545,3140,36.204824,138.252924
日本,535,3140,36.204824,138.252924
日本,535,3140,36.204824,138.252924
日本,547,3140,36.204824,138.252924
日本,560,3190,36.204824,138.252924
日本,547,3140,36.204824,138.252924
日本,565,3190,36.204824,138.252924
日本,540,3200,36.204824,138.252924
韋塞克斯,388,1775,42.1726977,-82.818899
韋塞克斯,378,1775,42.1726977,-82.818899
英格蘭,345,1760,52.3555177,-1.1743197
英格蘭,378,1775,52.3555177,-1.1743197
英國,345,1760,55.378051,-3.435973
英國,378,1775,55.378051,-3.435973
英國,345,1760,55.378051,-3.435973
丹麥,330,1890,56.26392,9.501785
カルマル同盟,310,1890,56.6634447,16.3567791
丹麥,330,1890,56.26392,9.501785
丹麥,330,1890,56.26392,9.501785
柬埔寨(法),780,2840,12.565679,104.990963
冰島,250,1620,64.963051,-19.020835
法國,424,1820,46.227638,2.213749
法國,424,1800,46.227638,2.213749
法國,450,1820,46.227638,2.213749
法國,424,1800,46.227638,2.213749
梵蒂岡,480,1920,41.902916,12.453389
聖馬利諾,463,1931,43.94236,12.457777
圖依湯加,1150,50,-21.178986,-175.198242
卡斯蒂利亞,475,1755,16.0173268,-85.9585544
卡斯蒂利亞＝莱昂,470,1730,41.83568210000001,-4.397635699999999
卡斯蒂利亞,475,1755,16.0173268,-85.9585544
卡斯蒂利亞＝莱昂,470,1730,41.83568210000001,-4.397635699999999
卡斯蒂利亞＝莱昂,485,1730,41.83568210000001,-4.397635699999999
卡斯蒂利亞＝莱昂,495,1745,41.83568210000001,-4.397635699999999
卡斯蒂利亞,485,1755,16.0173268,-85.9585544
卡斯蒂利亞,485,1745,16.0173268,-85.9585544
卡斯蒂利亞,493,1770,16.0173268,-85.9585544
西班牙,487,1810,40.46366700000001,-3.74922
西班牙,493,1770,40.46366700000001,-3.74922
法羅群島(丹),280,1730,61.89263500000001,-6.9118061
汶莱,850,2950,4.535277,114.727669
汶莱(英),850,2950,4.535277,114.727669
葡萄牙,486,1715,39.39987199999999,-8.224454
弗拉基米爾公國,330,2180,56.1445956,40.4178687
莫斯科大公國,330,2180,55.755826,37.6172999
莫斯科大公國,300,2180,55.755826,37.6172999
俄羅斯,330,2180,61.52401,105.318756
加那利群島,620,1650,28.2915637,-16.6291304
奥地利,425,1940,47.516231,14.550072
秘魯,990,1030,-9.189967,-75.015152
阿茲特克,690,790,42.6163917,-70.6376688
羅馬尼亞,433,2055,45.943161,24.96676
暹羅,780,2790,15.870032,100.992541
暹羅,765,2790,15.870032,100.992541
比利時,392,1830,50.503887,4.469936
李氏朝鮮,510,3060,22.6197363,120.3009456
南朝鮮(美),530,3080,35.907757,127.766922
韓国,540,3085,35.907757,127.766922
韓国,530,3080,35.907757,127.766922
剛果,920,1950,-4.038333,21.758664
剛果(比利時),930,2020,-4.038333,21.758664
剛果,900,2000,-4.038333,21.758664
剛果,930,2020,-4.038333,21.758664
マラッカ,880,2830,2.189594,102.2500868
満剌加(葡),862,2813,2.194418,102.249063
馬來西亞,862,2880,4.210484,101.975766
休達(葡),543,1746,35.8893874,-5.3213455
休達(西),543,1746,35.8893874,-5.3213455
薩伏依,450,1870,40.072967,-88.251893
